Variable,PValues
DDABAL,1.9947098887228318e-23
DEP,2.3121729679466264e-38
DEPAMT,3.723108159915412e-4
CHECKS,1.92407515865212e-11
NSFAMT,1.3475312779097527e-4
PHONE,1.4315988855952266e-19
SAVBAL,7.821330843517075e-48
ATMAMT,5.847175256998553e-8
POS,6.217900275386346e-7
CDBAL,1.0526220572804238e-36
IRABAL,3.2735005565815734e-11
MMBAL,3.576738835898463e-47
HMVAL,6.6630969433918476e-12
